,CID,DATE,PREV_STATUS,N_CR_ABM,N_CR_BRCH,N_CR_CHQ,N_CR_EFT,N_CR_MOBILE,N_CR_ONLINE,N_CR_OTHER,N_CR_PE,N_CR_POS,N_DB_ABM,N_DB_BRCH,N_DB_CHQ,N_DB_EFT,N_DB_MOBILE,N_DB_ONLINE,N_DB_OTHER,N_DB_PE,N_DB_POS,V_CR_ABM,V_CR_BRCH,V_CR_CHQ,V_CR_EFT,V_CR_MOBILE,V_CR_ONLINE,V_CR_OTHER,V_CR_PE,V_CR_POS,V_DB_ABM,V_DB_BRCH,V_DB_CHQ,V_DB_EFT,V_DB_MOBILE,V_DB_ONLINE,V_DB_OTHER,V_DB_PE,V_DB_POS,NEW_FEATURE_40,NEW_FEATURE_41,NEW_FEATURE_42,NEW_FEATURE_43,NEW_FEATURE_44,NEW_FEATURE_45,NEW_FEATURE_46,NEW_FEATURE_47,NEW_FEATURE_48,NEW_FEATURE_49,NEW_FEATURE_50,NEW_FEATURE_51,NEW_FEATURE_52,NEW_FEATURE_53,NEW_FEATURE_54,NEW_FEATURE_55,NEW_FEATURE_56,NEW_FEATURE_57,NEW_FEATURE_58,NEW_FEATURE_59,NEW_FEATURE_60,NEW_FEATURE_61,NEW_FEATURE_62,NEW_FEATURE_63,NEW_FEATURE_64,NEW_FEATURE_65,NEW_FEATURE_66,NEW_FEATURE_67,NEW_FEATURE_68,NEW_FEATURE_69,NEW_FEATURE_70,NEW_FEATURE_71,NEW_FEATURE_72,NEW_FEATURE_73,NEW_FEATURE_74,NEW_FEATURE_75,NEW_FEATURE_76,NEW_FEATURE_77,NEW_FEATURE_78,NEW_FEATURE_79,NEW_FEATURE_80,NEW_FEATURE_81,NEW_FEATURE_82,NEW_FEATURE_83,NEW_FEATURE_84,NEW_FEATURE_85,NEW_FEATURE_86,NEW_FEATURE_87,NEW_FEATURE_88,NEW_FEATURE_89,NEW_FEATURE_90,NEW_FEATURE_91,NEW_FEATURE_92,NEW_FEATURE_93,NEW_FEATURE_94,NEW_FEATURE_95,NEW_FEATURE_96,NEW_FEATURE_97,NEW_FEATURE_98,NEW_FEATURE_99,STATUS
10,130566,1488265200.0,0,1.0,1.0,0.0,4.0,0.0,9.0,0.0,2.0,0.0,7.0,0.0,0.0,10.0,2.0,23.0,0.0,2.0,53.0,1834.8,150.0,0.0,2914.21,0.0,1100.0,0.0,218.02,0.0,604.5,0.0,0.0,1232.53,70.0,2450.55,0.0,218.02,1853.84,0.0,0.030303030303030318,0.0,0.0,0.2,-0.296969696969697,0.2909090909090909,0.0,-0.012121212121212123,0.05454545454545454,-0.09090909090909093,-0.12121212121212123,0.0,0.17575757575757578,-0.10303030303030303,0.6060606060606062,0.0,-0.006060606060606058,1.0666666666666669,282.08500000000004,-38.60927272727274,215.0,-8.18181818181819,0.0,0.0,2933.402,96.96618181818181,298.092,-50.90254545454547,2599.1,158.8181818181819,0.0,0.0,105.378,26.635757575757577,45.30800000000001,12.381575757575758,403.96500000000003,-7.266969696969698,574.0,-52.48484848484849,0.0,0.0,1158.69,10.006909090909106,91.777,-4.784424242424242,3896.333,227.61569696969693,0.0,0.0,105.65299999999999,26.652424242424242,1345.246,66.21442424242426,0.0,0.0,0.0,0.0,0.0,0
11,130566,1490940000.0,0,0.0,0.0,0.0,6.0,2.0,10.0,0.0,3.0,1.0,3.0,0.0,0.0,10.0,2.0,18.0,0.0,3.0,60.0,0.0,0.0,0.0,5439.2,155.0,1916.0,0.0,327.03,29.37,243.75,0.0,0.0,1232.52,130.0,2395.07,0.0,327.03,1899.69,0.0,0.009090909090909089,0.03636363636363638,0.0,0.17272727272727278,-0.3545454545454547,0.2454545454545455,0.0,1.3231951496239691e-18,0.02727272727272729,0.07272727272727277,-0.10909090909090913,0.0,0.20000000000000012,-0.02727272727272729,0.5818181818181821,0.0,-6.615975748119846e-19,0.872727272727273,423.24090909090916,41.621000000000016,209.0909090909091,-9.09090909090911,0.0,0.0,2931.657272727273,71.85227272727275,270.9927272727273,-51.72654545454548,2462.818181818182,50.972727272727276,0.0,0.0,115.61818181818181,25.0969090909091,41.189090909090915,7.2267272727272776,422.19545454545454,3.665000000000001,521.8181818181819,-65.45454545454548,0.0,0.0,1165.4027272727274,10.861545454545473,89.79727272727273,-4.578181818181819,3764.8981818181824,104.99436363636376,0.0,0.0,115.86818181818181,25.0969090909091,1391.4818181818182,72.7787272727273,0.0,0.0,0.0,0.0,0.0,0
12,130566,1493532000.0,0,1.0,0.0,0.0,4.0,2.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0,7.0,1.0,14.0,0.0,2.0,57.0,69.0,0.0,0.0,3567.51,100.0,540.0,0.0,218.02,0.0,220.0,0.0,0.0,1083.03,100.0,1180.98,0.0,218.02,1503.93,0.0,-0.04195804195804197,0.017482517482517494,0.0,0.2272727272727273,-0.2972027972027973,0.24825174825174828,0.0,0.04545454545454546,0.048951048951048966,0.010489510489510476,-0.09790209790209793,0.0,0.2062937062937063,0.017482517482517477,0.35314685314685323,0.0,0.04195804195804197,0.9965034965034966,387.97083333333336,15.737657342657355,191.66666666666666,-15.034965034965033,0.0,0.0,3140.619166666667,151.71493006993006,261.32666666666665,-44.2509090909091,2417.25,18.178321678321673,0.0,0.0,133.23583333333332,27.436538461538465,40.20416666666667,5.10444055944056,407.325,-4.044055944055943,478.3333333333333,-70.41958041958043,0.0,0.0,1170.9958333333334,10.936468531468543,93.1475,-1.9754195804195798,3650.745833333334,28.07919580419579,0.0,0.0,133.465,27.426923076923078,1433.8325000000002,75.53010489510487,0.0,0.0,0.0,0.0,0.0,0
13,130566,1496210400.0,0,1.0,0.0,0.0,5.0,3.0,6.0,0.0,2.0,0.0,6.0,0.0,0.0,12.0,5.0,19.0,0.0,2.0,60.0,206.47,0.0,0.0,3798.07,180.0,380.0,0.0,218.02,0.0,268.95,0.0,0.0,1345.39,420.0,1099.52,0.0,218.02,1739.45,0.0,-0.03846153846153848,0.005494505494505495,0.0,0.18681318681318684,-0.2527472527472528,0.1098901098901099,0.0,0.03846153846153847,0.027472527472527472,-0.02747252747252747,-0.08791208791208795,0.0,0.10439560439560443,0.01098901098901099,0.07142857142857142,0.0,0.032967032967032975,0.93956043956044,363.4346153846154,1.8497802197802256,176.92307692307693,-18.13186813186814,0.0,0.0,3173.4569230769234,133.2779120879121,248.91692307692307,-40.08703296703297,2272.846153846154,-47.60439560439559,0.0,0.0,139.7576923076923,24.352362637362646,37.111538461538466,2.6852197802197817,392.9153846153846,-9.35302197802198,441.53846153846155,-71.09890109890111,0.0,0.0,1164.229230769231,5.6929670329670445,93.67461538461538,-1.3262087912087925,3460.7638461538468,-59.35862637362636,0.0,0.0,139.96923076923076,24.337252747252755,1439.2246153846156,61.65598901098903,0.0,0.0,0.0,0.0,0.0,0
14,130566,1498802400.0,0,0.0,3.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,6.0,2.0,0.0,9.0,6.0,18.0,0.0,1.0,68.0,0.0,27920.28,0.0,3547.64,0.0,3445.0,0.0,0.0,0.0,344.45,7920.28,0.0,1196.65,556.0,3963.09,0.0,109.01,2279.59,0.0,-0.03516483516483516,-0.0021978021978021935,0.0,0.1846153846153846,-0.18901098901098892,0.01978021978021978,0.0,0.03296703296703296,0.013186813186813175,0.03516483516483514,-0.07912087912087912,0.0,0.1802197802197802,0.12087912087912087,0.03516483516483517,0.0,0.02637362637362637,0.9626373626373624,352.2228571428572,-3.0048791208791235,164.28571428571428,-19.560439560439562,0.0,0.0,3218.072142857143,124.46841758241757,243.99428571428572,-34.03868131868132,2137.6428571428573,-92.16483516483515,0.0,0.0,145.34785714285712,21.717956043956043,34.46071428571429,1.087846153846153,384.06071428571425,-11.024285714285714,410.0,-69.49450549450549,0.0,0.0,1177.169285714286,9.730395604395614,116.98357142857142,8.262615384615385,3292.1035714285717,-114.95101098901097,0.0,0.0,145.5442857142857,21.699824175824176,1460.669285714286,57.90265934065933,0.0,0.0,0.0,0.0,0.0,0
15,130566,1501480800.0,0,2.0,1.0,0.0,6.0,1.0,17.0,0.0,2.0,0.0,3.0,0.0,0.0,9.0,3.0,25.0,0.0,2.0,72.0,120.0,13.56,0.0,3805.6,150.0,21445.0,0.0,377.46,0.0,224.45,0.0,0.0,8748.97,180.0,22041.99,0.0,377.46,2495.07,0.0,-0.057142857142857134,0.06785714285714285,0.0,0.15357142857142855,-0.21785714285714283,0.1107142857142857,0.0,-0.02142857142857143,0.0035714285714285757,0.07500000000000002,-0.021428571428571432,0.0,0.15,0.21428571428571425,-0.014285714285714296,0.0,-0.00357142857142857,1.1535714285714285,328.7413333333334,-11.247035714285715,2014.6853333333333,678.007,0.0,0.0,3240.0433333333335,109.36978571428573,227.728,-33.75628571428571,2224.8,-42.20000000000001,0.0,0.0,135.658,14.012142857142855,32.163333333333334,0.022357142857142333,381.41999999999996,-9.947499999999994,910.6853333333332,131.29271428571428,0.0,0.0,1178.4680000000003,8.392964285714296,146.25133333333332,17.68878571428571,3336.8360000000007,-76.62303571428568,0.0,0.0,143.10866666666666,16.71775,1515.2640000000001,67.51892857142856,0.0,0.0,0.0,0.0,0.0,0
16,130566,1504159200.0,0,0.0,0.0,0.0,5.0,2.0,14.0,0.0,2.0,0.0,3.0,0.0,0.0,8.0,6.0,22.0,1.0,2.0,71.0,0.0,0.0,0.0,4801.5,130.0,1657.0,0.0,371.0,0.0,300.0,0.0,0.0,928.69,570.0,2220.99,20000.0,371.0,2412.39,0.0,-0.02647058823529409,0.06911764705882346,0.0,0.1735294117647058,-0.21029411764705871,0.2794117647058822,0.0,-0.013235294117647052,-0.0029411764705882157,0.033823529411764655,-0.026470588235294107,0.0,0.12647058823529406,0.20588235294117635,0.10735294117647053,0.0,-0.001470588235294115,1.3441176470588228,315.695,-13.866852941176464,1889.615,514.2162352941175,0.0,0.0,3275.390625,102.54474999999995,222.87,-29.513882352941156,3426.0625,389.2220588235292,0.0,0.0,150.770625,16.873279411764702,30.153125,-0.6910735294117648,371.609375,-11.654632352941169,853.7674999999999,88.03476470588232,0.0,0.0,1651.6243749999999,173.90822058823522,148.360625,15.311691176470578,4505.908125000001,349.5123676470586,0.0,0.0,157.755625,18.937073529411755,1576.501875,77.21719117647055,0.0,0.0,0.0,0.0,0.0,0
17,130566,1506751200.0,0,0.0,0.0,0.0,5.0,1.0,9.0,0.0,3.0,0.0,3.0,0.0,0.0,6.0,5.0,21.0,0.0,3.0,70.0,0.0,0.0,0.0,4421.53,100.0,834.64,0.0,556.5,0.0,340.0,0.0,0.0,812.81,543.72,1745.34,0.0,556.5,1933.89,0.0,-0.044117647058823546,0.049019607843137296,0.0,0.16421568627450991,-0.1813725490196079,0.3308823529411766,0.0,-0.0073529411764705925,-0.0073529411764705985,0.0049019607843137514,-0.02941176470588237,0.0,0.08823529411764709,0.2549019607843138,0.1299019607843138,0.01960784313725491,1.7176321874823921e-19,1.4289215686274515,297.12470588235294,-17.745808823529423,1778.4611764705883,391.46225490196093,0.0,0.0,3365.1617647058824,115.3776715686275,217.4070588235294,-26.415882352941196,3322.0,289.66421568627464,0.0,0.0,163.72529411764705,18.379289215686285,28.379411764705882,-1.167132352941178,367.3970588235294,-11.11629901960785,803.5458823529411,56.62176470588238,0.0,0.0,1609.0988235294117,130.74833333333336,173.16294117647058,21.02718137254903,4371.50117647059,246.45799019607858,1176.4705882352941,392.15686274509835,170.2994117647059,19.962156862745108,1625.6717647058822,80.73762254901965,0.0,0.0,0.0,0.0,0.0,0
18,130566,1509429600.0,0,2.0,1.0,0.0,6.0,1.0,10.0,0.0,2.0,0.0,2.0,0.0,0.0,10.0,4.0,15.0,0.0,2.0,64.0,120.0,200.0,0.0,3961.52,100.0,698.0,0.0,371.0,0.0,200.0,0.0,0.0,1039.48,340.0,1034.99,0.0,371.0,1944.39,0.0,-0.05572755417956658,0.034055727554179585,0.0,0.15479876160990716,-0.17543859649122814,0.27347781217750267,0.0,0.014447884416924668,-0.010319917440660478,-0.015479876160990733,-0.030959752321981435,0.0,0.024767801857585144,0.2672858617131063,0.1259029927760578,0.015479876160990719,0.01857585139318886,1.4458204334365328,280.61777777777775,-20.15655314757484,1679.6577777777777,298.45135190918484,0.0,0.0,3423.8488888888887,115.69292053663571,210.88444444444445,-24.304726522187828,3183.8133333333335,200.28986584107335,0.0,0.0,185.54611111111112,22.36808049535604,26.802777777777777,-1.4807327141382869,365.875,-9.841744066047472,758.9044444444444,33.58418988648092,0.0,0.0,1564.8605555555555,96.13388028895771,193.74944444444444,24.208101135190926,4225.603333333334,161.47056759545933,1111.111111111111,309.5975232198144,191.755,23.585686274509808,1642.7949999999998,73.39691434468527,0.0,0.0,0.0,0.0,0.0,0
19,130566,1512025200.0,0,0.0,0.0,0.0,4.0,2.0,8.0,0.0,2.0,0.0,3.0,0.0,0.0,8.0,8.0,17.0,0.0,2.0,60.0,0.0,0.0,0.0,3867.49,150.0,606.0,0.0,371.0,0.0,143.35,0.0,0.0,929.52,525.0,1409.15,0.0,371.0,1749.16,0.0,-0.03157894736842103,0.03859649122807017,0.0,0.16140350877192972,-0.16842105263157886,0.24385964912280686,0.0,0.014035087719298235,-0.012280701754385956,-0.045614035087719246,-0.03157894736842103,0.0,0.042105263157894715,0.2561403508771928,0.02631578947368419,0.012280701754385956,0.015789473684210516,1.340350877192982,272.1642105263158,-19.669140350877175,1601.7810526315789,230.32063157894729,0.0,0.0,3452.1473684210528,106.82852631578943,205.0484210526316,-22.409824561403493,3052.981052631579,130.99670175438595,0.0,0.0,195.30684210526314,21.941087719298235,25.392105263157895,-1.681824561403508,357.14473684210526,-10.984561403508767,718.9621052631578,16.563859649122804,0.0,0.0,1537.208947368421,73.41831578947365,201.44684210526316,22.88610526315788,4057.6763157894748,86.87187719298245,1052.6315789473683,245.61403508771915,201.18894736842105,22.878017543859634,1658.6684210526314,67.14940350877191,0.0,0.0,0.0,0.0,0.0,0
